Membership No  Date Joined  Active  
    26673      2018-4-25    no    
    73473      2017-8-11    no    
    24033      2018-3-12    no    
    50752      2019-10-18   no    
    51009      2020-8-21    no    
    32344      2019-10-9    no    
    31685      2020-7-11    no    
    32450      2016-4-6     no    
    83788      2015-9-1     no    
    26971      2017-12-11   no    
    91266      2015-2-10    no    
    79467      2016-1-1     no    
    12232      2015-1-4     no    
    83538      2017-7-22    no    
    82273      2017-5-21    no    
