Membership No  Date Joined  Active  
    32700      2017-12-2    no    
    10983      2016-12-22   no    
    24458      2019-7-6     yes   
    94699      2016-6-19    no    
    70005      2017-8-8     yes   
    98538      2015-9-10    yes   
    64079      2018-11-2    no    
    18888      2019-2-22    no    
    85889      2020-5-22    yes   
    95175      2020-11-17   no    
    21783      2020-7-21    yes   
    95962      2016-6-1     yes   
    58513      2019-7-6     no    
    53062      2015-9-15    yes   
    96718      2015-1-23    no    
    62846      2019-5-12    yes   
    95315      2015-12-12   no    
    32788      2018-2-22    no    
    11320      2016-3-9     no    
    38368      2018-11-3    no    
